품목명,Tier,가중치,모델,MAPE%
열차료,C,1.7,비계절ETS,0.00850297276542141
도시철도료,C,2.2,비계절ETS,0.0905507132956644
시내버스료,C,6.8,비계절ETS,0.3577367322085366
시외버스료,C,1.0,비계절ETS,0.06456794608766689
택시료,C,3.2,비계절ETS,0.12024435718001135
국제항공료,C,2.9,비계절ETS,4.661684018734933
우편료,C,0.1,비계절ETS,0.961400286006755
유선전화료,C,0.4,비계절ETS,0.006239449112301136
휴대전화료,C,29.8,비계절ETS,4.2337237768729485
인터넷이용료,C,5.5,비계절ETS,3.078972983195973e-05
방송수신료,C,2.4,비계절ETS,0.03640299960695416
유치원납입금,C,1.8,비계절ETS,5.104389766502154
전문대학납입금,C,1.1,계절ETS,0.49706563234710543
국공립대학교납입금,C,1.4,계절ETS,0.22049561271497786
사립대학교납입금,C,8.6,계절ETS,0.5493039788401524
국공립대학원납입금,C,0.4,계절ETS,0.22379329729793818
사립대학원납입금,C,1.6,계절ETS,0.28699738724795393
보육시설이용료,C,0.7,비계절ETS,1.8627628214275862
요양시설이용료,C,0.9,비계절ETS,0.4011515491598438
부동산중개수수료,C,0.8,비계절ETS,0.03021373960253691
행정수수료,C,1.1,비계절ETS,0.09437572766111718
전기료,D,16.1,비계절ETS,1.9659852776625766
도시가스,D,11.5,비계절ETS,0.024378446531455267
취사용LPG,D,0.9,회귀(오피넷),0.10159508420008145
등유,D,2.4,회귀(오피넷),1.1279725995155456
지역난방비,D,1.6,비계절ETS,0.13701937567904687
부탄가스,D,0.1,비계절ETS,2.2917624494360775
휘발유,D,24.1,회귀(오피넷),0.23505950128278705
경유,D,16.3,회귀(오피넷),0.29512395324032586
자동차용LPG,D,2.8,회귀(오피넷),0.30416419402890604
