품목명,Tier,가중치,모델,MAPE%,품목코드,대분류
에어컨,A,1.5,비계절ETS,0.7828088301019114,E031070,05 가정용품및가사서비스
선풍기,A,0.4,비계절ETS,2.2972252467254584,E031080,05 가정용품및가사서비스
공기청정기,A,0.6,비계절ETS,0.8608270029548781,E031090,05 가정용품및가사서비스
세탁기,A,1.0,비계절ETS,0.6657845153978734,E031100,05 가정용품및가사서비스
의류건조기,A,1.1,비계절ETS,1.2045262424077885,E031110,05 가정용품및가사서비스
식기세척기,A,0.2,비계절ETS,1.056056866338887,E031120,05 가정용품및가사서비스
청소기,A,1.1,비계절ETS,0.9530542755594305,E031130,05 가정용품및가사서비스
소형주방가전,A,0.8,비계절ETS,2.012040101681692,E031140,05 가정용품및가사서비스
보온매트,A,0.4,비계절ETS,0.4436053620618085,E031150,05 가정용품및가사서비스
가전제품수리비,A,2.4,비계절ETS,2.50399361923276,E032010,05 가정용품및가사서비스
가전제품렌탈비,A,2.5,비계절ETS,0.1531329533192352,E032020,05 가정용품및가사서비스
식기,A,0.8,비계절ETS,2.2675178151164936,E041010,05 가정용품및가사서비스
컵,A,0.5,비계절ETS,1.0039601226893493,E041020,05 가정용품및가사서비스
솥,A,0.2,비계절ETS,2.561373678373626,E041030,05 가정용품및가사서비스
프라이팬,A,0.6,비계절ETS,2.9372279360731177,E041040,05 가정용품및가사서비스
냄비,A,0.5,비계절ETS,2.399491889174397,E041050,05 가정용품및가사서비스
수저,A,0.3,비계절ETS,1.6733913935021203,E041060,05 가정용품및가사서비스
밀폐용기,A,0.7,비계절ETS,2.632727004947799,E041070,05 가정용품및가사서비스
부엌용용구,A,0.4,비계절ETS,1.1498153814911645,E041080,05 가정용품및가사서비스
보일러,A,1.5,비계절ETS,0.0259266129893118,E051010,05 가정용품및가사서비스
건전지,A,0.3,비계절ETS,0.8966027401335827,E051020,05 가정용품및가사서비스
소형가사용품,A,1.3,비계절ETS,1.6960186935690549,E051030,05 가정용품및가사서비스
세탁세제,A,1.7,비계절ETS,2.2424241217778507,E061010,05 가정용품및가사서비스
섬유유연제,A,0.1,비계절ETS,1.4984439326261507,E061020,05 가정용품및가사서비스
전구,A,0.2,비계절ETS,1.2537677344857945,E061030,05 가정용품및가사서비스
부엌용세제,A,0.6,비계절ETS,1.421606769612177,E061040,05 가정용품및가사서비스
청소용세제,A,0.2,비계절ETS,0.1501801774814318,E061050,05 가정용품및가사서비스
살충제,A,0.3,비계절ETS,1.088618998900163,E061060,05 가정용품및가사서비스
가정용비닐용품,A,0.6,비계절ETS,1.4062548094530527,E061070,05 가정용품및가사서비스
키친타월,A,1.0,비계절ETS,1.5147124243716104,E061080,05 가정용품및가사서비스
